geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
fr23	1804.1 	1800.1 	1795.9 	1792.3 	1788.2 	1783.6 	1780.0 s	1778.0 	1775.5 	1772.8 
fr24	2492.1 	2478.2 	2469.8 	2460.8 	2451.7 	2444.8 	2439.3 s	2435.3 	2428.3 	2421.4 
fr25	1444.3 	1439.6 	1435.5 	1432.1 	1428.9 	1424.3 	1420.4 s	1417.5 	1413.9 	1410.0 
fr26	1621.9 	1622.0 	1618.6 	1615.5 	1613.3 	1611.2 	1612.0 s	1613.9 	1614.7 	1615.3 
fr30	4029.6 	4024.4 	4016.8 	4010.2 	4005.0 	4001.3 	3996.5 s	3995.2 	3993.3 	3989.1 
fr41	2332.9 	2328.2 	2323.6 	2319.7 	2316.4 	2312.1 	2312.1 s	2314.5 	2316.2 	2315.8 
fr42	1800.5 	1789.2 	1779.8 	1768.4 	1754.2 	1739.8 	1726.3 s	1715.5 	1705.2 	1693.5 
fr43	1140.1 	1136.0 	1130.2 	1125.0 	1120.9 	1118.4 	1116.6 s	1115.4 	1114.3 	1112.7 
fr51	3386.4 	3345.9 	3319.6 	3289.9 	3260.6 	3231.2 	3210.2 s	3191.6 	3173.4 	3155.1 
fr52	3049.8 	3007.5 	2981.3 	2957.2 	2934.9 	2911.9 	2896.2 s	2879.5 	2862.2 	2847.3 
fr53	1700.6 	1685.3 	1673.6 	1663.2 	1653.4 	1643.1 	1637.4 s	1631.7 	1626.0 	1621.6 
fr61	3067.2 	3030.4 	3002.6 	2973.7 	2944.6 	2914.9 	2897.8 s	2883.0 	2870.8 	2860.2 
fr62	2721.1 	2684.4 	2652.4 	2621.1 	2590.4 	2558.8 	2542.0 s	2527.2 	2513.8 	2501.0 
fr63	723.4 	720.3 	718.3 	716.3 	713.8 	711.3 	712.0 s	713.4 	714.7 	716.2 
fr71	5933.1 	5866.7 	5811.4 	5758.2 	5706.7 	5658.7 	5624.5 s	5595.0 	5566.5 	5538.7 
fr72	1329.8 	1324.5 	1321.0 	1317.2 	1313.4 	1309.8 	1309.5 s	1310.0 	1310.6 	1311.6 
fr81	2481.5 	2445.6 	2412.7 	2377.7 	2341.4 	2303.0 	2283.1 s	2261.6 	2239.4 	2219.3 
fr82	4732.0 	4684.7 	4645.8 	4602.5 	4559.2 	4518.3 	4491.0 s	4465.6 	4438.9 	4416.0 
fr83	275.7 	271.8 	269.2 	266.7 	264.2 	260.5 	259.8 s	259.3 	259.1 	258.8 
fr91	442.0 	444.9 	439.6 	434.4 	429.2 	423.6 	418.9 	: 	425.2 	419.5 
fr92	394.5 	393.5 	390.7 	387.8 	385.0 	382.1 	379.0 	: 	389.9 	385.6 
fr93	196.0 	181.4 	175.4 	169.5 	163.9 	158.4 	153.0 	: 	159.7 	152.3 
fr94	768.9 	757.8 	746.6 	735.4 	723.4 	709.9 	698.2 	: 	669.7 	658.9 
